level,area,mean,lower,upper
0,Kenya,1408694.54533577,1360541.66358115,1457246.56675424
1,Coast,118040.726629295,110616.447849709,126435.924121959
2,Mombasa,54093.7173773429,48489.9488363906,60159.1601332458
2,Kwale,12809.880532994,12048.1193319827,13625.6134123927
2,Kilifi,39419.8592463132,35875.1960545572,43485.5288022522
2,Tana River,1773.62529015251,1536.15393615712,2062.88393845657
2,Lamu,1727.84724147785,1347.20106143436,2124.88109110376
2,Taita-taveta,8215.79694101446,7449.09163895838,9205.72436433363
1,North Eastern,4402.73753475041,3592.41004984747,5407.36066689364
2,Garissa,2306.40561035069,1745.35586288249,3036.93045667361
2,Wajir,620.45896408071,430.506907022877,924.846963052825
2,Mandera,1475.87296031901,1023.65161925717,2080.01331680128
1,Eastern,140049.268459601,132893.070810983,148180.978269093
2,Marsabit,2329.84889119361,1851.5807772411,2907.87864031991
2,Isiolo,2317.88332715947,1820.82520328149,2868.66153461321
2,Meru,26959.9890324717,24119.259482687,30223.6032230089
2,Tharaka-nithi,8912.76330162945,7874.73874381901,10090.4306623723
2,Embu,11496.4666202403,10342.925610538,12771.4804199149
2,Kitui,27447.206382944,24700.1642947162,30512.1713657132
2,Machakos,33142.4489521082,30821.9400271297,35660.8585748668
2,Makueni,27442.661951854,24678.4355728381,31003.6064617977
1,Central,106016.950001298,99553.5269033275,113078.062067328
2,Nyandarua,10785.960999514,9915.25633167617,11861.0872706438
2,Nyeri,18665.8707065567,17051.0589169296,20777.7418887302
2,Kirinyaga,12494.9395904319,11221.9638550661,13999.1265071255
2,Murang'a,15041.118139487,13771.2990181715,16637.632394253
2,Kiambu,49029.0605653085,44050.9255766484,54215.9993707426
1,Rift Valley,274797.149690423,260072.622597641,290949.125105941
2,Turkana,12697.7560740077,10963.7613150091,14572.2966552888
2,West Pokot,4337.71937914811,3721.80180832099,5322.96889719648
2,Samburu,3482.5359303801,2743.11304156858,4448.22451364411
2,Trans-nzoia,24456.5117830044,22147.4110211052,26917.8375531889
2,Uasin Gishu,44865.1363777616,40067.1554707046,49756.4217577578
2,Elgeyo-marakwet,6364.77825343603,5328.14993433625,7518.03095747392
2,Nandi,19653.9378156171,16813.8152688001,22693.0605123346
2,Baringo,8728.48283352494,7344.8324974711,10393.3581222805
2,Laikipia,14891.3637270034,13151.1629867771,16935.9879535627
2,Nakuru,60053.3156855233,53133.7978544821,66979.3072080192
2,Narok,11792.633097971,10329.2140958504,13470.6261134383
2,Kajiado,23194.3658414115,20827.5850130754,25630.2823759575
2,Kericho,24923.9597121057,22158.1242568428,28055.8817761879
2,Bomet,15354.6531795277,13913.8529101641,16887.8727275994
1,Western,133082.126224889,120292.020854964,147156.419257985
2,Kakamega,43384.1007527003,32621.1235164942,57371.9312715121
2,Vihiga,15726.3550567272,13960.0133669261,17683.5128212547
2,Bungoma,24009.780163614,22236.755259786,25779.2527356279
2,Busia,49961.8902518473,45339.6385624471,54996.6299515696
1,Nyanza,508050.661717441,489431.623241161,528533.096901661
2,Siaya,105034.378829103,98756.6841036187,112132.831426132
2,Kisumu,123124.533221623,115554.252626594,130754.540562263
2,Homa Bay,134160.518281646,126297.830464578,143715.899783552
2,Migori,84775.1278120956,75364.6125679103,94783.5607252294
2,Kisii,42515.5207581122,39694.7334090317,45543.6664071143
2,Nyamira,18440.5828148609,16705.9321943735,20251.9636384982
1,Nairobi,124254.925078077,115959.635467174,134354.848094153
2,Nairobi (county),124254.925078077,115959.635467174,134354.848094153
